region_id,region_type,region
94915,zip,"85339;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94892,zip,"85310;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94846,zip,"85254;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94791,zip,"85085;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94767,zip,"85054;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94766,zip,"85053;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94765,zip,"85051;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94764,zip,"85050;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94763,zip,"85048;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94761,zip,"85045;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94760,zip,"85044;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94759,zip,"85043;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94758,zip,"85042;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94757,zip,"85041;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94756,zip,"85040;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94753,zip,"85037;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94751,zip,"85035;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94750,zip,"85034;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94749,zip,"85033;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94748,zip,"85032;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94747,zip,"85031;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94745,zip,"85029;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94744,zip,"85028;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94743,zip,"85027;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94740,zip,"85024;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94739,zip,"85023;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94738,zip,"85022;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94737,zip,"85021;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94736,zip,"85020;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94735,zip,"85019;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94734,zip,"85018;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94733,zip,"85017;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94732,zip,"85016;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94731,zip,"85015;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94730,zip,"85014;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94729,zip,"85013;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94728,zip,"85012;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94725,zip,"85009;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94724,zip,"85008;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94723,zip,"85007;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94722,zip,"85006;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94720,zip,"85004;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
94719,zip,"85003;AZ;Phoenix-Mesa-Chandler, AZ;Phoenix;Maricopa County"
